file	RefSeq_assembly_accession	species_taxid	organism_name	infraspecific_name	species	genus	family	order	class	phylum	superkingdom
GCF_002155145.1_ASM215514v1_genomic.gbff	GCF_002155145.1	698828	Kushneria konosiri	strain=X49	Kushneria konosiri	Kushneria	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_002442615.1_ASM244261v1_genomic.gbff	GCF_002442615.1	520	Bordetella pertussis	strain=J165	Bordetella pertussis	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_003367335.1_ASM336733v1_genomic.gbff	GCF_003367335.1	1795	Mycolicibacterium neoaurum	strain=HGMS2	Mycolicibacterium neoaurum	Mycolicibacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
GCF_003568825.1_ASM356882v1_genomic.gbff	GCF_003568825.1	314281	Pseudoalteromonas tunicata	strain=D2	Pseudoalteromonas tunicata	Pseudoalteromonas	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_002850255.1_ASM285025v1_genomic.gbff	GCF_002850255.1	1514074	Pseudoalteromonas sp. NC201	strain=NC201	Pseudoalteromonas sp. NC201	Pseudoalteromonas	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_017751185.1_ASM1775118v1_genomic.gbff	GCF_017751185.1	159	Brachyspira hyodysenteriae	strain=BHZ526	Brachyspira hyodysenteriae	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria
GCF_017751205.1_ASM1775120v1_genomic.gbff	GCF_017751205.1	159	Brachyspira hyodysenteriae	strain=BHZ375	Brachyspira hyodysenteriae	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria
GCF_017751225.1_ASM1775122v1_genomic.gbff	GCF_017751225.1	159	Brachyspira hyodysenteriae	strain=Bh743-7x	Brachyspira hyodysenteriae	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria
GCF_017751245.1_ASM1775124v1_genomic.gbff	GCF_017751245.1	1428	Bacillus thuringiensis	strain=Bt-GS57	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_005885835.1_ASM588583v1_genomic.gbff	GCF_005885835.1	28901	Salmonella enterica subsp. enterica serovar Typhi	strain=WGS1146	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_008152825.1_ASM815282v1_genomic.gbff	GCF_008152825.1	162	Treponema phagedenis	strain=S2.3	Treponema phagedenis	Treponema	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
GCF_008153055.1_ASM815305v1_genomic.gbff	GCF_008153055.1	162	Treponema phagedenis	strain=B31.4	Treponema phagedenis	Treponema	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
GCF_008153205.1_ASM815320v1_genomic.gbff	GCF_008153205.1	162	Treponema phagedenis	strain=B36.5	Treponema phagedenis	Treponema	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
GCF_008153345.1_ASM815334v1_genomic.gbff	GCF_008153345.1	162	Treponema phagedenis	strain=B43.1	Treponema phagedenis	Treponema	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
GCF_008180305.1_ASM818030v1_genomic.gbff	GCF_008180305.1	40214	Acinetobacter johnsonii	strain=Acsw19	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_013348705.1_ASM1334870v1_genomic.gbff	GCF_013348705.1	492670	Bacillus velezensis	strain=KKLW	Bacillus velezensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_017161265.1_ASM1716126v1_genomic.gbff	GCF_017161265.1	58231	Treponema medium	strain=ATCC 700293	Treponema medium	Treponema	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
GCF_017161305.1_ASM1716130v1_genomic.gbff	GCF_017161305.1	744515	Treponema ruminis	strain=RU1	Treponema ruminis	Treponema	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
GCF_005222585.1_ASM522258v1_genomic.gbff	GCF_005222585.1	173	Leptospira interrogans	strain=FMAS_KW2	Leptospira interrogans	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
GCF_005222625.1_ASM522262v1_genomic.gbff	GCF_005222625.1	173	Leptospira interrogans	strain=FMAS_AW1	Leptospira interrogans	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
GCF_005234095.1_ASM523409v1_genomic.gbff	GCF_005234095.1	1423	Bacillus subtilis	strain=H19	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_008119665.1_ASM811966v1_genomic.gbff	GCF_008119665.1	1940612	Pigmentiphaga aceris	strain=Mada1488	Pigmentiphaga aceris	Pigmentiphaga	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_000632815.1_ASM63281v1_genomic.gbff	GCF_000632815.1	945	Ehrlichia chaffeensis str. Heartland	strain=Heartland	Ehrlichia chaffeensis	Ehrlichia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
GCF_001316565.3_ASM131656v3_genomic.gbff	GCF_001316565.3	573	Klebsiella pneumoniae subsp. pneumoniae	strain=ST101:960186733	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_005222165.1_ASM522216v1_genomic.gbff	GCF_005222165.1	192	Azospirillum brasilense	strain=MTCC4035	Azospirillum brasilense	Azospirillum	Azospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
GCF_005222205.1_ASM522220v1_genomic.gbff	GCF_005222205.1	192	Azospirillum brasilense	strain=MTCC4039	Azospirillum brasilense	Azospirillum	Azospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
GCF_005222225.1_ASM522222v1_genomic.gbff	GCF_005222225.1	914153	Salinimonas lutimaris	strain=DPSR-4	Salinimonas lutimaris	Salinimonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_008274965.1_ASM827496v1_genomic.gbff	GCF_008274965.1	192	Azospirillum brasilense	strain=Cd	Azospirillum brasilense	Azospirillum	Azospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
GCF_008281175.1_ASM828117v1_genomic.gbff	GCF_008281175.1	89153	[Clostridium] hylemonae DSM 15053	strain=DSM 15053	[Clostridium] hylemonae	Lachnoclostridium	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
GCF_000955665.1_ASM95566v1_genomic.gbff	GCF_000955665.1	172045	Elizabethkingia miricola	strain=BM10	Elizabethkingia miricola	Elizabethkingia	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
GCF_001417865.2_ASM141786v2_genomic.gbff	GCF_001417865.2	615	Serratia marcescens	strain=B3R3	Serratia marcescens	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_001640765.1_ASM164076v1_genomic.gbff	GCF_001640765.1	1307	Streptococcus suis	strain=DN13	Streptococcus suis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_001717625.1_ASM171762v1_genomic.gbff	GCF_001717625.1	197	Campylobacter jejuni subsp. jejuni	strain=14980A	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001865475.1_ASM186547v1_genomic.gbff	GCF_001865475.1	195	Campylobacter coli	strain=MG1116	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001865495.1_ASM186549v1_genomic.gbff	GCF_001865495.1	195	Campylobacter coli	strain=BP3183	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001865515.1_ASM186551v1_genomic.gbff	GCF_001865515.1	195	Campylobacter coli	strain=WA333	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001865535.1_ASM186553v1_genomic.gbff	GCF_001865535.1	195	Campylobacter coli	strain=ZV1224	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001865555.1_ASM186555v1_genomic.gbff	GCF_001865555.1	195	Campylobacter coli	strain=BG2108	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001865575.1_ASM186557v1_genomic.gbff	GCF_001865575.1	948107	Paraburkholderia sprentiae WSM5005	strain=WSM5005	Paraburkholderia sprentiae	Paraburkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001936375.1_ASM193637v1_genomic.gbff	GCF_001936375.1	1392	Bacillus anthracis	strain=Tyrol 4675	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_002024205.1_ASM202420v1_genomic.gbff	GCF_002024205.1	61435	Dehalococcoides mccartyi	strain=KBVC2	Dehalococcoides mccartyi	Dehalococcoides	Dehalococcoidaceae	Dehalococcoidales	Dehalococcoidia	Chloroflexi	Bacteria
GCF_002407165.1_ASM240716v1_genomic.gbff	GCF_002407165.1	28035	Staphylococcus lugdunensis	strain=FDAARGOS_377	Staphylococcus lugdunensis	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_002844125.1_ASM284412v1_genomic.gbff	GCF_002844125.1	492670	Bacillus velezensis	strain=Lzh-a42	Bacillus velezensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_003030225.1_ASM303022v1_genomic.gbff	GCF_003030225.1	1280	Staphylococcus aureus	strain=CFSAN018750	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_004319445.1_ASM431944v1_genomic.gbff	GCF_004319445.1	347	Xanthomonas oryzae	strain=NJ611	Xanthomonas oryzae	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_005518015.1_ASM551801v1_genomic.gbff	GCF_005518015.1	1764	Mycobacterium avium subsp. hominissuis	strain=101174	Mycobacterium avium	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
GCF_008727335.1_ASM872733v1_genomic.gbff	GCF_008727335.1	197	Campylobacter jejuni	strain=AR-0419	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_008727535.1_ASM872753v1_genomic.gbff	GCF_008727535.1	28901	Salmonella enterica subsp. enterica serovar Concord	strain=AR-0407	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_009649915.1_ASM964991v1_genomic.gbff	GCF_009649915.1	61648	Kluyvera intermedia	strain=N2-1	Kluyvera intermedia	Kluyvera	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_009730415.1_ASM973041v1_genomic.gbff	GCF_009730415.1	1270	Micrococcus luteus	strain=FDAARGOS_677	Micrococcus luteus	Micrococcus	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
GCF_010232785.1_ASM1023278v1_genomic.gbff	GCF_010232785.1	263	Francisella tularensis subsp. holarctica	strain=B-8367	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_013391145.1_ASM1339114v1_genomic.gbff	GCF_013391145.1	1354	Enterococcus hirae	strain=13344	Enterococcus hirae	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_014705925.2_ASM1470592v2_genomic.gbff	GCF_014705925.2	396015	Rothia terrae	strain=KJZ-14	Rothia terrae	Rothia	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
GCF_014906185.1_ASM1490618v1_genomic.gbff	GCF_014906185.1	195	Campylobacter coli	strain=meC0280	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_014906205.1_ASM1490620v1_genomic.gbff	GCF_014906205.1	195	Campylobacter coli	strain=meC0281	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_014930875.1_ASM1493087v1_genomic.gbff	GCF_014930875.1	562	Escherichia coli UTI89	strain=UTI89	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_016127695.1_ASM1612769v1_genomic.gbff	GCF_016127695.1	562	Escherichia coli	strain=FDAARGOS_1059	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_011600855.2_ASM1160085v2_genomic.gbff	GCF_011600855.2	196	Campylobacter fetus	strain=CFF02A725-35A	Campylobacter fetus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_011600945.2_ASM1160094v2_genomic.gbff	GCF_011600945.2	196	Campylobacter fetus	strain=CFF00A031	Campylobacter fetus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_011600955.2_ASM1160095v2_genomic.gbff	GCF_011600955.2	196	Campylobacter fetus	strain=CFViADRI1362	Campylobacter fetus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_011600995.2_ASM1160099v2_genomic.gbff	GCF_011600995.2	196	Campylobacter fetus	strain=CFF09A980	Campylobacter fetus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_011601005.2_ASM1160100v2_genomic.gbff	GCF_011601005.2	196	Campylobacter fetus	strain=CFV08A948-2A	Campylobacter fetus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_011601375.2_ASM1160137v2_genomic.gbff	GCF_011601375.2	196	Campylobacter fetus	strain=CFViADRI545	Campylobacter fetus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_011602425.1_ASM1160242v1_genomic.gbff	GCF_011602425.1	644	Aeromonas hydrophila	strain=LHW39	Aeromonas hydrophila	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_001314305.1_ASM131430v1_genomic.gbff	GCF_001314305.1	128780	Stenotrophomonas acidaminiphila	strain=ZAC14D2_NAIMI4_2	Stenotrophomonas acidaminiphila	Stenotrophomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_001412535.1_ASM141253v1_genomic.gbff	GCF_001412535.1	1678128	Limnohabitans sp. 63ED37-2	strain=63ED37-2	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001458695.1_NiCh1_genomic.gbff	GCF_001458695.1	1715989	Candidatus Nitrospira inopinata		Candidatus Nitrospira inopinata	Nitrospira	Nitrospiraceae	Nitrospirales	Nitrospira	Nitrospirae	Bacteria
GCF_001506205.1_ASM150620v1_genomic.gbff	GCF_001506205.1	197	Campylobacter jejuni	strain=CJ677CC002	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001506225.1_ASM150622v1_genomic.gbff	GCF_001506225.1	197	Campylobacter jejuni	strain=CJ677CC534	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001506245.1_ASM150624v1_genomic.gbff	GCF_001506245.1	197	Campylobacter jejuni	strain=CJ677CC536	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001506265.1_ASM150626v1_genomic.gbff	GCF_001506265.1	197	Campylobacter jejuni	strain=CJ677CC073	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001506285.1_ASM150628v1_genomic.gbff	GCF_001506285.1	197	Campylobacter jejuni	strain=CJ677CC521	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001506305.1_ASM150630v1_genomic.gbff	GCF_001506305.1	197	Campylobacter jejuni	strain=CJ677CC526	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001506345.1_ASM150634v1_genomic.gbff	GCF_001506345.1	197	Campylobacter jejuni	strain=CJ677CC036	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001506365.1_ASM150636v1_genomic.gbff	GCF_001506365.1	197	Campylobacter jejuni	strain=CJ677CC524	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001506385.1_ASM150638v1_genomic.gbff	GCF_001506385.1	197	Campylobacter jejuni	strain=CJ677CC016	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001506405.1_ASM150640v1_genomic.gbff	GCF_001506405.1	197	Campylobacter jejuni	strain=CJ677CC041	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001506425.1_ASM150642v1_genomic.gbff	GCF_001506425.1	197	Campylobacter jejuni	strain=CJ677CC535	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001506445.1_ASM150644v1_genomic.gbff	GCF_001506445.1	197	Campylobacter jejuni	strain=CJ677CC092	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_001506465.1_ASM150646v1_genomic.gbff	GCF_001506465.1	197	Campylobacter jejuni	strain=CJ677CC530	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
