phage_taxid,phage_name,phage_accession,phage_gi,phage_date,host_taxid,host_name,host_superkingdom,host_phylum,host_class,host_order,host_family,host_genus,host_species
512792,Acidianus filamentous virus 9,NC_010537,171473648,2008,269667,Acidianus convivator,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus convivator
512792,Acidianus filamentous virus 9,NC_010537,171473648,2008,518068,Acidianus uzoniensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus uzoniensis
309181,Acidianus rod-shaped virus 1,NC_009965,159341058,2005,315460,Acidianus sp. Acii26,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus sp. Acii26
693629,Acidianus spindle-shaped virus 1,NC_013585,270281746,2009,41673,Acidianus brierleyi,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus brierleyi
315953,Acidianus two-tailed virus,NC_007409,75750386,2005,269667,Acidianus convivator,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus convivator
1229761,Acidithiobacillus phage AcaML1,JX507079,408385415,2012,637389,Acidithiobacillus caldus ATCC 51756,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus caldus
2010329,Acidovorax phage ACP17,NC_041997,1631931823,2017,80869,Acidovorax citrulli,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax citrulli
889876,Acinetobacter phage AB1,NC_042028,1631936023,2010,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1273713,Acinetobacter phage AB3,NC_021337,509141259,2012,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2500826,Acinetobacter phage AbKT21phiIII,NC_048142,1842031762,2018,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1235824,Acinetobacter phage Abp1,NC_021316,509139299,2012,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2015804,Acinetobacter phage AbP2,NC_041998,1631932077,2017,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2500827,Acinetobacter phage AbTZA1,NC_049445,1864376796,2018,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
762660,Acinetobacter phage Ac42,NC_014660,311992494,2010,469,Acinetobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
760732,Acinetobacter phage Acj61,NC_014661,311992750,2010,40214,Acinetobacter johnsonii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii
760939,Acinetobacter phage Acj9,NC_014663,311993272,2010,40214,Acinetobacter johnsonii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii
2178927,Acinetobacter phage AM101,NC_049511,1864385578,2018,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
154784,Acinetobacter phage AP205,NC_002700,28173057,2001,70347,Acinetobacter genomosp. 16BJ,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter genomosp. 16BJ
1187128,Acinetobacter phage AP22,NC_017984,388570767,2012,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2686308,Acinetobacter phage Apostate,NC_049491,1864381403,2019,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2686290,Acinetobacter phage Berthold,NC_049490,1864381089,2019,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1647373,Acinetobacter phage Fri1,NC_028848,971749165,2015,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1243183,Acinetobacter phage IME-AB2,NC_041857,1631914210,2012,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1735582,Acinetobacter phage IME200,NC_028987,1275545796,2015,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1458669,Acinetobacter phage IMEAB3,NC_023590,589892139,2013,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2301662,Acinetobacter phage KARL-1,NC_049441,1864376145,2018,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2686303,Acinetobacter phage Kimel,NC_049492,1864381707,2019,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2666257,Acinetobacter phage Konradin,NC_049479,1864379949,2019,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2686289,Acinetobacter phage Lazarus,NC_049493,1864382118,2019,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1970374,Acinetobacter phage Loki,NC_042137,1631948573,2015,400667,Acinetobacter baumannii ATCC 17978,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1792222,Acinetobacter phage LZ35,NC_031117,1070106021,2016,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1406779,Acinetobacter phage Petty,NC_023570,589890642,2013,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
691318,Acinetobacter phage phiAB1,NC_028675,966199244,2010,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1698439,Acinetobacter phage phiAB6,NC_031086,1070065083,2015,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1229760,Acinetobacter phage phiAC-1,NC_028995,971763770,2012,487316,Acinetobacter soli,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter soli
1406780,Acinetobacter phage Presley,NC_023581,589891329,2013,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1406780,Acinetobacter phage Presley,NC_023581,589891329,2013,1343071,Acinetobacter nosocomialis M2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter nosocomialis
1916127,Acinetobacter phage SH-Ab 15519,NC_041905,1631920339,2016,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2053604,Acinetobacter phage SWH-Ab-1,NC_047896,1842008665,2017,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2059857,Acinetobacter phage SWH-Ab-3,NC_047883,1842007640,2017,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1481186,Acinetobacter phage vB_AbaM_Acibel004,NC_025462,712915757,2014,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2315466,Acinetobacter phage vB_AbaM_B09_Aci01-1,NC_048074,1842026027,2018,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2315467,Acinetobacter phage vB_AbaM_B09_Aci02-2,NC_048075,1842026197,2018,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2315458,Acinetobacter phage vB_AbaM_B09_Aci05,NC_048080,1842026834,2018,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1837876,Acinetobacter phage vB_AbaM_ME3,NC_041884,1631917922,2016,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1605379,Acinetobacter phage vB_AbaM_phiAbaA1,NC_031280,1070619947,2014,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2690230,Acinetobacter phage vB_AbaM_PhT2,NC_049494,1864382445,2019,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2315468,Acinetobacter phage vB_AbaP_46-62_Aci07,NC_048076,1842026369,2018,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1481187,Acinetobacter phage vB_AbaP_Acibel007,NC_025457,712915472,2014,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1932886,Acinetobacter phage vB_AbaP_AS11,NC_041915,1631921362,2016,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1932885,Acinetobacter phage vB_AbaP_AS12,NC_041914,1631921312,2016,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2315601,Acinetobacter phage vB_AbaP_B09_Aci08,NC_048081,1842026995,2018,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2016049,Acinetobacter phage vB_AbaP_B1,NC_042003,1631932515,2017,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2016050,Acinetobacter phage vB_AbaP_B3,NC_042004,1631932567,2017,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2016050,Acinetobacter phage vB_AbaP_B3,NC_042004,1631932567,2017,1217636,Acinetobacter baumannii NIPH 528,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2678937,Acinetobacter phage vB_AbaP_B5,NC_042005,1631932617,2017,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2678937,Acinetobacter phage vB_AbaP_B5,NC_042005,1631932617,2017,1217645,Acinetobacter baumannii NIPH 2061,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2126803,Acinetobacter phage vB_AbaP_D2,NC_042124,1631946989,2018,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1701807,Acinetobacter phage vB_AbaP_PD-6A3,NC_028684,966200373,2015,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1701808,Acinetobacter phage vB_AbaP_PD-AB9,NC_028679,966199732,2015,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1852629,Acinetobacter phage vB_AbaS_TRS1,NC_031098,1070104669,2016,927193,Acinetobacter baumannii A118,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
2269366,Acinetobacter phage vB_ApiM_fHyAci03,NC_049438,1864375492,2018,48296,Acinetobacter pittii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii
2016052,Acinetobacter phage vB_ApiP_P1,NC_042006,1631932671,2017,48296,Acinetobacter pittii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii
2016053,Acinetobacter phage vB_ApiP_P2,NC_042007,1631932721,2017,48296,Acinetobacter pittii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii
1983409,Acinetobacter phage WCHABP1,NC_041966,1631926675,2017,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1965454,Acinetobacter phage WCHABP12,NC_041924,1631922629,2017,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1983525,Acinetobacter phage WCHABP5,NC_041967,1631926765,2017,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1505225,Acinetobacter phage YMC-13-01-C62,NC_024785,682123100,2014,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1221835,Acinetobacter phage YMC/09/02/B1251,NC_019541,423261980,2012,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1628721,Acinetobacter phage YMC11/11/R3177,NC_041866,1631915399,2015,472,Acinetobacter sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp.
1628720,Acinetobacter phage YMC11/12/R2315,NC_028855,971749762,2015,472,Acinetobacter sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp.
1560342,Acinetobacter phage YMC13/03/R2096,NC_027332,849248815,2014,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
1049283,Acinetobacter phage ZZ1,NC_018087,939535472,2010,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
279006,Acinetobacter virus 133,NC_015250,326536151,2004,40214,Acinetobacter johnsonii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii
338473,Actinomyces virus Av1,NC_009643,151266287,2004,1655,Actinomyces naeslundii,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii
279303,Actinoplanes phage phiAsp2,NC_005885,48697401,2004,442459,Actinoplanes sp. SN223/29,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes sp. SN223/29
1913112,Aeribacillus phage AP45,NC_048651,1859643867,2016,33936,Aeribacillus pallidus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Aeribacillus,Aeribacillus pallidus
2588097,Aeromonas phage 2-L372D,NC_048769,1859657876,2019,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
2163976,Aeromonas phage 25AhydR2PP,NC_047966,1842014121,2018,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
2588515,Aeromonas phage 2_L372X,NC_048770,1859658094,2019,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
2588517,Aeromonas phage 4_4572,NC_048773,1859658780,2019,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
2588518,Aeromonas phage 4_L372D,NC_048771,1859658306,2019,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
2588520,Aeromonas phage 4_L372XY,NC_048772,1859658558,2019,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
1198014,Aeromonas phage Aes012,NC_020879,472437937,2011,647,Aeromonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sp.
1198013,Aeromonas phage Aes508,NC_019543,423262092,2011,645,Aeromonas salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
1747286,Aeromonas phage Ahp1,NC_047866,1842005810,2015,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
2138298,Aeromonas phage AhSzq-1,NC_047949,1842012929,2017,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
2138299,Aeromonas phage AhSzw-1,NC_047950,1842013073,2017,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
2026082,Aeromonas phage AS-gz,NC_042019,1631935237,2017,29491,Aeromonas salmonicida subsp. salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
2026113,Aeromonas phage AS-sw,NC_048674,1859646362,2017,29491,Aeromonas salmonicida subsp. salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
2024208,Aeromonas phage AS-zj,NC_048673,1859645959,2017,29491,Aeromonas salmonicida subsp. salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
2776735,Aeromonas phage BUCT551,NC_052986,1985465920,2020,642,Aeromonas,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
1204516,Aeromonas phage CC2,NC_019538,423261416,2012,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
2507411,Aeromonas phage CF7,NC_047865,1842005760,2017,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
2591033,Aeromonas phage LAh9,NC_048776,1859659244,2019,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
2591030,Aeromonas phage LAh_6,NC_048774,1859658935,2019,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
2591031,Aeromonas phage LAh_7,NC_052985,1985465844,2019,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
2591032,Aeromonas phage LAh_8,NC_048775,1859659100,2019,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
1505227,Aeromonas phage pAh6-C,NC_025459,712915603,2014,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
1978922,Aeromonas phage phiA8-29,NC_048660,1859644632,2017,647,Aeromonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sp.
879628,Aeromonas phage phiAS4,NC_014635,310722194,2010,645,Aeromonas salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
879630,Aeromonas phage phiAS5,NC_014636,310722466,2010,645,Aeromonas salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
1141132,Aeromonas phage phiAS7,NC_019528,422937568,2011,29491,Aeromonas salmonicida subsp. salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
754050,Aeromonas phage pIS4-A,NC_042037,1631936863,2010,728059,Aeromonas sp. IS4,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sp. IS4
