organism_name,infraspecific_name,species,genus,family,order,class,phylum,superkingdom
Aminobacter sp. MSH1,strain=MSH1,Aminobacter sp. MSH1,Aminobacter,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Aminobacterium colombiense DSM 12261,strain=DSM 12261,Aminobacterium colombiense,Aminobacterium,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria
Ammonifex degensii KC4,strain=KC4,Ammonifex degensii,Ammonifex,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria
Amphibacillus xylanus NBRC 15112,strain=NBRC 15112,Amphibacillus xylanus,Amphibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Amphritea japonica ATCC BAA-1530,strain=ATCC BAA-1530,Amphritea japonica,Amphritea,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
Amycolatopsis sp. AA4,strain=AA4,Amycolatopsis sp. AA4,Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia,Actinobacteria,Bacteria
Amylolactobacillus amylophilus DSM 20533 = JCM 1125,strain=DSM 20533,Amylolactobacillus amylophilus,Amylolactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Anabaena sp. WA102,strain=WA102,Anabaena sp. WA102,Anabaena,Nostocaceae,Nostocales,,Cyanobacteria,Bacteria
Anaerobacillus isosaccharinicus,strain=NB2006,Anaerobacillus isosaccharinicus,Anaerobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Anaerobutyricum hallii,,Anaerobutyricum hallii,Anaerobutyricum,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Anaerococcus obesiensis,strain=FDAARGOS_989,Anaerococcus obesiensis,Anaerococcus,Peptoniphilaceae,Tissierellales,Tissierellia,Firmicutes,Bacteria
Anaerocolumna cellulosilytica,strain=SN021,Anaerocolumna cellulosilytica,Anaerocolumna,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Anaerohalosphaera lusitana,strain=ST-NAGAB-D1,Anaerohalosphaera lusitana,Anaerohalosphaera,Anaerohalosphaeraceae,Sedimentisphaerales,Phycisphaerae,Planctomycetes,Bacteria
Anaerolinea thermophila UNI-1,strain=UNI-1,Anaerolinea thermophila,Anaerolinea,Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexi,Bacteria
Anaeromyxobacter dehalogenans 2CP-C,strain=2CP-C,Anaeromyxobacter dehalogenans,Anaeromyxobacter,Anaeromyxobacteraceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria
Anaerostipes caccae L1-92,strain=JCM 13470,Anaerostipes caccae,Anaerostipes,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Anaerotignum propionicum DSM 1682,strain=X2,Anaerotignum propionicum,Anaerotignum,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Anaplasma phagocytophilum str. Norway variant1,strain=Norway Variant 1,Anaplasma phagocytophilum,Anaplasma,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria
Ancylobacter pratisalsi,strain=DSM 102029,Ancylobacter pratisalsi,Ancylobacter,Xanthobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Aneurinibacillus soli,strain=CB4,Aneurinibacillus soli,Aneurinibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Anoxybacillus flavithermus,strain=52-1A,Anoxybacillus flavithermus,Anoxybacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Anoxybacter fermentans,strain=DY22613,Anoxybacter fermentans,Anoxybacter,,Halanaerobiales,Clostridia,Firmicutes,Bacteria
Anseongella ginsenosidimutans,strain=Gsoil 524,Anseongella ginsenosidimutans,Anseongella,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes,Bacteria
Antarctobacter heliothermus,strain=SMS3,Antarctobacter heliothermus,Antarctobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Apilactobacillus kunkeei,strain=MP2,Apilactobacillus kunkeei,Apilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Aquabacterium olei,strain=NBRC 110486,Aquabacterium olei,Aquabacterium,,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Aquaspirillum sp. LM1,strain=LM1,Aquaspirillum sp. LM1,Aquaspirillum,Chromobacteriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
Aquicella lusitana,strain=SGT-39,Aquicella lusitana,Aquicella,Coxiellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria
Aquifex aeolicus VF5,strain=VF5,Aquifex aeolicus,Aquifex,Aquificaceae,Aquificales,Aquificae,Aquificae,Bacteria
Aquimarina sp. BL5,strain=BL5,Aquimarina sp. BL5,Aquimarina,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Aquisphaera giovannonii,strain=OJF2,Aquisphaera giovannonii,Aquisphaera,Isosphaeraceae,Isosphaerales,Planctomycetia,Planctomycetes,Bacteria
Aquitalea sp. USM4,strain=USM4,Aquitalea sp. USM4,Aquitalea,Chromobacteriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
Arachidicoccus sp. BS20,strain=BS20,Arachidicoccus sp. BS20,Arachidicoccus,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes,Bacteria
Arachnia propionica,strain=NCTC12967,Arachnia propionica,Arachnia,Propionibacteriaceae,Propionibacteriales,Actinomycetia,Actinobacteria,Bacteria
Arcanobacterium haemolyticum,strain=NCTC8452,Arcanobacterium haemolyticum,Arcanobacterium,Actinomycetaceae,Actinomycetales,Actinomycetia,Actinobacteria,Bacteria
Archaeoglobus fulgidus DSM 4304,strain=DSM 4304,Archaeoglobus fulgidus,Archaeoglobus,Archaeoglobaceae,Archaeoglobales,Archaeoglobi,Euryarchaeota,Archaea
Archangium violaceum,strain=SDU8,Archangium violaceum,Archangium,Archangiaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria
Arcobacter anaerophilus,strain=DSM 24636,Arcobacter anaerophilus,Arcobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
Arcticibacterium luteifluviistationis,strain=SM1504T,Arcticibacterium luteifluviistationis,Arcticibacterium,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Arenibacter algicola,strain=SMS7,Arenibacter algicola,Arenibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Aromatoleum petrolei,strain=ToN1,Aromatoleum petrolei,Aromatoleum,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,Bacteria
Arsenicicoccus sp. oral taxon 190,strain=F0371,Arsenicicoccus sp. oral taxon 190,Arsenicicoccus,Intrasporangiaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Arsenophonus endosymbiont of Aleurodicus dispersus,strain=ARAD,Arsenophonus endosymbiont of Aleurodicus dispersus,Arsenophonus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Arthrobacter agilis,strain=NCTC2676_1,Arthrobacter agilis,Arthrobacter,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Arthrospira sp. PCC 9108,strain=PCC 9108,Arthrospira sp. PCC 9108,Arthrospira,Microcoleaceae,Oscillatoriales,,Cyanobacteria,Bacteria
Asaia bogorensis NBRC 16594,strain=NBRC 16594,Asaia bogorensis,Asaia,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
Asticcacaulis excentricus,strain=M6,Asticcacaulis excentricus,Asticcacaulis,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Athalassotoga saccharophila,strain=NAS-01,Athalassotoga saccharophila,Athalassotoga,Mesoaciditogaceae,Mesoaciditogales,Thermotogae,Thermotogae,Bacteria
Atlantibacter hermannii,strain=78-1320,Atlantibacter hermannii,Atlantibacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Aurantiacibacter gangjinensis,strain=JCM 15420,Aurantiacibacter gangjinensis,Aurantiacibacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
Aurantimicrobium sp. MWH-Mo1,strain=MWH-Mo1,Aurantimicrobium sp. MWH-Mo1,Aurantimicrobium,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Aureimonas populi,strain=KCTC 42087,Aureimonas populi,Aureimonas,Aurantimonadaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Austwickia chelonae,strain=LK16-18,Austwickia chelonae,Austwickia,Dermatophilaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Avibacterium paragallinarum,strain=AVPG2015,Avibacterium paragallinarum,Avibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
Azoarcus sp. DD4,strain=DD4,Azoarcus sp. DD4,Azoarcus,Zoogloeaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,Bacteria
Azorhizobium caulinodans ORS 571,strain=ORS 571,Azorhizobium caulinodans,Azorhizobium,Xanthobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Azospira sp. I09,strain=I09,Azospira sp. I09,Azospira,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,Bacteria
Azospirillum brasilense,strain=MTCC4035,Azospirillum brasilense,Azospirillum,Azospirillaceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
Azotobacter chroococcum,strain=HR1,Azotobacter chroococcum,Azotobacter,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Bacillus velezensis,strain=DR-08,Bacillus velezensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Bacterioplanes sanyensis,strain=NV9,Bacterioplanes sanyensis,Bacterioplanes,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
Bacteriovorax stolpii,strain=DSM 12778,Bacteriovorax stolpii,Bacteriovorax,Bacteriovoracaceae,Bacteriovoracales,Oligoflexia,Proteobacteria,Bacteria
Bacteroides fragilis,strain=DK1985,Bacteroides fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
Baekduia soli,strain=BR7-21,Baekduia soli,Baekduia,Baekduiaceae,Rubrobacterales,Rubrobacteria,Actinobacteria,Bacteria
Barnesiella viscericola DSM 18177,"strain=C46, DSM 18177",Barnesiella viscericola,Barnesiella,Barnesiellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
Bartonella elizabethae,strain=NCTC12898,Bartonella elizabethae,Bartonella,Bartonellaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Basfia succiniciproducens,strain=JF4016,Basfia succiniciproducens,Basfia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
Basilea psittacipulmonis DSM 24701,strain=DSM 24701,Basilea psittacipulmonis,Basilea,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Bdellovibrio bacteriovorus,strain=109J,Bdellovibrio bacteriovorus,Bdellovibrio,Bdellovibrionaceae,Bdellovibrionales,Oligoflexia,Proteobacteria,Bacteria
Beggiatoa leptomitoformis,strain=D-402,Beggiatoa leptomitoformis,Beggiatoa,Thiotrichaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria
Beijerinckia indica subsp. indica ATCC 9039,strain=ATCC 9039,Beijerinckia indica,Beijerinckia,Beijerinckiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Belliella baltica DSM 15883,strain=DSM 15883,Belliella baltica,Belliella,Cyclobacteriaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Bergeyella cardium,strain=HPQL,Bergeyella cardium,Bergeyella,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Bermanella marisrubri,strain=RED65,Bermanella marisrubri,Bermanella,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
Bernardetia litoralis DSM 6794,strain=DSM 6794,Bernardetia litoralis,Bernardetia,Bernardetiaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Berryella intestinalis,strain=68-1-3,Berryella intestinalis,Berryella,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria
Beutenbergia cavernae DSM 12333,strain=DSM 12333,Beutenbergia cavernae,Beutenbergia,Beutenbergiaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Bibersteinia trehalosi USDA-ARS-USMARC-192,strain=USDA-ARS-USMARC-192,Bibersteinia trehalosi,Bibersteinia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
Bifidobacterium longum subsp. longum,strain=KCTC 3421,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia,Actinobacteria,Bacteria
Bisgaardia hudsonensis,strain=M327/99/2,Bisgaardia hudsonensis,Bisgaardia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
Blastochloris viridis,strain=DSM 133,Blastochloris viridis,Blastochloris,Blastochloridaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Blastococcus saxobsidens DD2,strain=DD2,Blastococcus saxobsidens,Blastococcus,Geodermatophilaceae,Geodermatophilales,Actinomycetia,Actinobacteria,Bacteria
Blastomonas fulva,strain=T2,Blastomonas fulva,Blastomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
Blattabacterium clevelandi,strain=CCLhc,Blattabacterium clevelandi,Blattabacterium,Blattabacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Blautia hansenii DSM 20583,strain=DSM 20583,Blautia hansenii,Blautia,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Bombilactobacillus bombi,strain=BI-2.5,Bombilactobacillus bombi,Bombilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Bordetella pertussis,strain=J165,Bordetella pertussis,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Borrelia miyamotoi,strain=Izh-5,Borrelia miyamotoi,Borrelia,Borreliaceae,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria
Borreliella burgdorferi,strain=PAbe,Borreliella burgdorferi,Borreliella,Borreliaceae,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria
Bosea sp. Tri-49,strain=Tri-49,Bosea sp. Tri-49,Bosea,Boseaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
